name,zh,en,ja,category
k-a-001,这是漏⭕了吧？,Peeing in pants?,これ漏れしちゃたかな？,special
k-a-002,萝莉控天使,Lolicon Tenshi,ロリコン天使,special
k-a-003,胸部下垂了！,The breast is sagging!,おっぱい垂れてる！,special
k-a-004,等下这个牙白这个不是很h吗,"Wait, isn't that looks erotic?",えぇちょっとこれやばい、これエッチエッチじゃない？,special
k-a-005,果然我是一个欧派星人,I am definitely a boob worshiper,やっぱり僕はね、おっぱい星人,special
k-a-006,我是dd天使,I love every single one I met,DD天使です、DD天使,general
k-a-007,想要去偷看奶奶上厕所了！,I'm going to take a peep at my grandmother to take a dump,お婆ちゃんのトイレ覗きに行ったいになっちゃた,special
k-a-008,对店长暴言的天使,Cursing at manager,店長に暴言を吐くの天使,special
k-a-009,呼吸天使,Dying of cuteness,限界化天使,special
k-c-001,请绑好安全带,Please fasten your safety belt!,安全ベルトをしっかりと締める,chinese
k-c-002,谢谢↑,Thank you! (CN ver.),ありがとう,chinese
k-c-003,我爱你三连,I love you,愛してる,chinese
k-c-004,嘿！巴扎嘿！,Bazaar Heyyyyyy!,バーザーヘィ！,chinese
k-c-005,吃好晚饭来看b站 听我天哥来唱索兰,"Come to Bilibili after the meal, enjoy my Soran Bushi for real",ご飯の後ビリビリに来て　ソーラン節を聴いてご覧,chinese
k-g-001,绝赞喷嚏,QQ Tenshi,絶賛なくしゃみ,voice-source
k-g-002,谢谢,Thank you (JP ver.),ありがとう,general
k-g-003,钉宫三连,BAKA HENTAI URUSAI！,バカ！へんたい！うるさい！,moe
k-g-004,少女尖叫,(Screaming),きゃー,voice-source
k-g-005,救救我,Help!,助けて！,general
k-g-006,我想做大家的妹妹啊，可以吗,Can I become your little sister?,皆の妹にして欲しいな、してくれる？,moe
k-g-007,差不多该成为我的东西了吧,It's time for you to be mine,そろそろ、僕のものになってくれませんか？,moe
k-g-008,喵喵喵喵喵,nya nya nya nya nya,にゃにゃにゃにゃにゃー,imitation
k-g-009,kiss也可以哟,Kiss me,キッスしていいよ,moe
k-i-001,我是桐生可可,I'm Kiryu Coco,桐生ココです～,imitation
k-i-002,彼方碳今天也很可爱！,Kanata's Suisei style greeting,みなこんかなたー、かなたは今日もかわいいいいいいい,moe
k-i-003,彗酱前辈suki,I love Sui-chan,すいちゃんせんぱいすき,tete
k-i-004,吶天龙党的各位现在是什么心情,"Kanacoco cp fans, how does that make you feel?",ねぇ、かなココ党のみな今どんな気持ち？,tete
k-i-005,从以前开始就想和彗酱前辈结婚了！,I've always thought about getting married with Sui-chan,前から、すいちゃんと結婚したいなで思うだ,tete
k-i-006,WTM!一起去买Tenga吧！,Buy a Tenga for me Watame!,わため！テンガ買って来い！,special
k-i-007,早Peko,Hi Peko,こんぺこx３,imitation
k-i-008,Ahoy！我是宝钟海贼团团长，宝钟玛琳desu~,Ahoy! I'm the Hosho pirate's captain Hosho Marine,Ahoy！宝鐘海賊団船長の宝鐘マリンですぅ,imitation
k-l-001,音妹骂我,Tsundere insults,かな罵倒,moe
k-l-002,生日歌（萝莉）,Happy birthday song (Loli ver.),誕生日歌（ロリ）,moe
k-l-003,欧尼酱Kimo,Onichan you disgusting!,お兄ちゃんキモい,moe
k-l-004,明天也要和彼方玩哦,Please play with me now and ever,明日も彼方と一緒に遊んでね,moe
k-l-005,感觉...不明所以了,Well...I can't figure it out,なんか...わかんねぇ,moe
k-l-006,傻笑,Giggling,ばか笑い,moe
k-l-007,bilibili的叔叔都是变态吗,Are Ojisan at Bilibili all pervert?,ビリビリのおじさん達、みんな変態ですか？,moe
k-o-001,永别了我的收益化,"Farewell, my youtube income",さようなら、僕の収益化,moe
k-o-002,千年等一回,Don't leave me,いかないで,voice-source
k-p-001,无能狂怒,Go to hell jerk!,殺してやるこの野郎！,general
k-p-002,那我能亲你吗(天哥Ver.),(Kana-kun)So can I kiss you?,（かなくん）じゃあキスしていい？,moe
k-p-003,那你能我亲吗(音妹Ver.),(Kanatan)So could you kiss me?,（かなたん）じゃあキスしていい？,moe
k-p-004,住手！注射那么大的针啊 好痛啊,No! Such a big needle will kill me,そんなおっきな注射イタイよぉ,special
k-p-005,小粥前辈 让我吹凉一点吃掉吧(音妹Ver.),(Kanatan)Okayu Senppai... let me have you,（かなたん）おかゆ先輩…フーフーして食べさせてください,tete
k-p-006,把小粥前辈吹凉一点吃掉吧(天哥Ver.),"(Kana-kun) Okayu, I'll have you",（かなくん）おかゆ…フーフーしてたべさせて…,kana-kun
k-p-007,不愧是被我选中的骑士(天哥Ver.),(Kana-kun)You are the knight I choose as I expected,（かなくん）さすが俺がナイトに選んだ奴だ,kana-kun
k-p-008,不愧是被我选中的骑士呢(音妹Ver.),(Kanatan)You are the knight I choose as I expected,（かなたん）さすが私がナイトに選んだひとだ、ねっ,moe
k-p-009,不要啊 这样很痛啊(音妹Ver.),(Kanatan) Stop! That hurts!,（かなたん）やめてっっ…そんな○○イタイよぉ,moe
k-p-010,不要离开我 请陪在我身边 不要离开我(音妹.ver),(Kanatan) Don't leave me...stay with me,（かなたん）行かないで…私のそばにいて…いかないで…,moe
k-p-011,不要再胡闹了！不管怎么想都是我比较可爱！(音妹.ver),(Kanatan) That's enough! I am the one looks cutest,（かなたん）もういい加減にしてよ…どう考えたってあたしの方がかわいいだし…,moe
k-p-012,不要再胡闹了!不管怎么想都是我比较帅啊！(天哥.ver),(Kana-kun) That's enough! I am the one looks more handsome,（かなくん）もういい加減にしろよ…どう考えたって俺の方がかっこいいんだし…,kana-kun
k-p-013,不要走 请待在我身边 不要走(天哥Ver.),(Kana-kun) Don't leave...stay with me,（かなくん）行かないで…俺のそばにいて…いかないで…,kana-kun
k-p-014,但是 你最喜欢的是我对吧(音妹Ver.),(Kanatan) But I am the one you always love right?,（かなたん）でも…僕のこと大好きでしょ？,moe
k-p-015,但是 你最喜欢我了吧(天哥ver.),(Kana-kun) But I am the one you always love right?,（かなくん）でも…俺のこと大好きでしょ？,kana-kun
k-p-016,搞砸的话就杀了你，喵~(天哥Ver.),(Kana-kun) Nya will kill you if you mess up,（かなくん）ヘマしたら殺すにゃ,kana-kun
k-p-017,搞砸的话就杀了你，喵~(音妹Ver.),(Kanatan) Nya will kill you if you mess up,（かなたん）ヘマしたら殺すにゃ,moe
k-p-018,既然说喜欢我，那我就粘着你不放了(音妹Ver.),(Kanatan)I'll give my all on you if you said you love me.,（かなたん）私のこと好きだってすがりつかせてあげる…,moe
k-p-019,快察觉到啊！我的心意,Say you love me...,察してよ…僕の気持ち,moe
k-p-020,明明和我呆在一起就很开心(天哥Ver.),(Kana-kun)I know you're happy to be with me,（かなくん）俺と一緒にいれること…うれしいくせに…,kana-kun
k-p-021,明明和我呆在一起就很开心(音妹Ver.),(Kanatan)I know you're happy to be with me,（かなたん）私と一緒にいれること…うれしいくせに！,moe
k-p-022,明明我的攻势不止如此(天哥Ver.),My love is far more than you know,（かなくん）俺の攻めはこんなもんじゃない,kana-kun
k-p-023,明明我的攻势不止如此(音妹Ver.),Obviously my love is far more than this,（かなたん）私の攻めはこんなもんじゃないのに…,moe
k-p-024,喂 亲我(天哥Ver.),(Kana-kun)Kiss me,（かなくん）ねぇ、キスして,kana-kun
k-p-025,喂 亲我(音妹Ver.),(Kanatan)Kiss me,（かなたん）ねぇ…キスして,moe
k-p-026,呐，我们来互相擦背吧，毕竟我自己够不到，而且，我也不想你的OO被那种家伙碰到(天哥Ver.),(Kana-kun)Let's rub each other's backs,（かなくん）ねぇ…背中流しっこしようよ、僕手届かないし…それに…あんな奴に君の○○を触らせたくない,moe
k-p-027,请多指教喵(天哥Ver.),(Kana-kun)Yoroshiku nyan,（かなくん）よろしくにゃ,kana-kun
k-p-028,请多指教喵(音妹Ver.),(Kanatan)Yoroshiku nyan,（かなたん）よろしくにゃ,moe
k-p-029,什么叫，身为我的东西，就要烙上我的印记(音妹Ver.),what do you mean by leave a mark on my belonging,（かなたん）何って俺のものだって印だけど？,moe
k-p-030,（音妹）所以，成为只属于我的你吧,(Kanatan)Please be The One for me,（かなたん）だから、私だけの君でいて,moe
k-p-031,（天哥）所以，你就是我的所有物,(Kana-kun)Be my girl,（かなくん）だから…俺だけの女でいろ…,kana-kun
k-p-032,（音妹）我在床上的时候是最可爱的,(Kanatan)Cutest in bed,（かなたん）私…ベットの中が一番かわいいだよ,moe
k-p-033,（天哥）我在床上的时候是最帅的,(Kana-kun)Coolest in bed,（かなくん）俺…ベットの中が一番かっこいいだよ,kana-kun
k-p-034,（天哥）好开心啊，你的初吻是我的,(Kana-kun)Your first kiss belongs to me,（かなくん）だって、嬉しいだもん、君のファーストキスが俺だって分かったから,kana-kun
k-p-035,（音妹）好开心啊，你的初吻是我的,(Kanatan)Your first kiss belongs to me,（かなたん）だって、嬉しいだもん、君のファーストキスが僕だって分かったから,moe
k-p-036,（天哥）我喜欢你,(Kana-kun)I love you,（かなくん）君のことが好きなんだ,kana-kun
k-p-037,（音妹）我就是喜欢你啊,(Kanatan)I love you,（かなたん）君のことが…君のことがすきなの！,moe
k-p-038,（天哥）我想把你占为己有,(Kana-kun)I want to keep you to myself,（かなくん）君のこと、独り占めしたいんだ,kana-kun
k-p-039,（音妹）我想把你占为己有,(Kanatan)I want to keep you to myself,（かなたん）君のこと、独り占めしたいの,moe
k-p-040,（音妹）我想要的只有你,(Kanatan)The only thing I need is you,（かなたん）欲しいのは…君だけだよ…,moe
k-p-041,（天哥）仅你一人，能视我为男人就好了,(Kana-kun) At least you could treat me like a man,（かなくん）ただ一人…君が俺を…男として見てくれたら…,kana-kun
k-p-042,（音妹）仅你一人，能视我为女人就好了,(Kanatan) At least you could treat me like a woman,（かなたん）ただ一人…君が私を…女として見てくれたら…,moe
k-p-043,（天哥）因为你是我找到的蓝玫瑰，开玩笑的,(Kana-kun)You are the blue rose I found,（かなくん）君は俺が見つけた青い薔薇だから…なんでねっ,kana-kun
k-p-044,（音妹）因为你是我找到的蓝玫瑰，开玩笑的,(Kanatan)You are the blue rose I found,（かなたん）君は私が見つけた青い薔薇だから…なんでねっ,moe
k-p-045,（天哥）继续胡闹的话，我就要亲你了,(Kana-kun)I'll kiss you if you make more noice,（かなくん）これ以上騒ぐとキスするよ,kana-kun
k-p-046,（音妹）继续胡闹的话，我就要亲你了,(Kanatan)I'll kiss you if you make more noice,（かなたん）これ以上騒ぐとキスするよ,moe
k-p-047,（天哥）今后不要再逃了，不要离开我,(Kana-kun)Don't leave me,（かなくん）今度は逃げないでね…俺から逃げないでね…,kana-kun
k-p-048,（音妹）今后不要再逃了，不要离开我,(Kanatan)Don't leave me,（かなたん）今度は逃げないでね…私から逃げないでね…,moe
k-t-001,自我介绍（活泼ver）,(sprightly)Self Introduction,自己紹介（明るい）,general
k-t-002,自我介绍（低声ver）,(Low-voice)Self Introduction,自己紹介（低い声）,general
k-t-003,自我介绍,Self Introduction,自己紹介,general
k-t-004,索兰索兰,Soran Soran,ソーラン、ソーラン,voice-source
k-t-005,嘿,Hey,へぃ,general
k-t-006,六魁首六魁首,"Dokkoisho, dokkoisho!",ドッコイショ！ドッコイショ！,voice-source
k-t-007,の段（颤抖）,no Dan (shaking),の段（震え声）,general
